Gas1,gas2,gas3,gas4,gas5
2,80,10,2,6
0,80,10,2,8
8,80,10,0,2
6,80,10,0,4
4,80,10,0,6
2,80,10,0,8
0,80,10,0,10
10,80,8,2,0
8,80,8,4,0
6,80,8,6,0
4,80,8,8,0
2,80,8,10,0
0,80,8,12,0
0,80,8,10,2
2,80,8,8,2
0,80,8,8,4
4,80,8,6,2
2,80,8,6,4
0,80,8,6,6
6,80,8,4,2
4,80,8,4,4
2,80,8,4,6
0,80,8,4,8
8,80,8,2,2
6,80,8,2,4
4,80,8,2,6
2,80,8,2,8
0,80,8,2,10
10,80,8,0,2
8,80,8,0,4
6,80,8,0,6
4,80,8,0,8
2,80,8,0,10
0,80,8,0,12
12,80,6,2,0
10,80,6,4,0
8,80,6,6,0
6,80,6,8,0
4,80,6,10,0
2,80,6,12,0
0,80,6,14,0
0,80,6,12,2
2,80,6,10,2
0,80,6,10,4
4,80,6,8,2
2,80,6,8,4
0,80,6,8,6
6,80,6,6,2
4,80,6,6,4
2,80,6,6,6
0,80,6,6,8
8,80,6,4,2
6,80,6,4,4
4,80,6,4,6
2,80,6,4,8
0,80,6,4,10
10,80,6,2,2
8,80,6,2,4
6,80,6,2,6
4,80,6,2,8
2,80,6,2,10
0,80,6,2,12
12,80,6,0,2
10,80,6,0,4
8,80,6,0,6
6,80,6,0,8
4,80,6,0,10
2,80,6,0,12
0,80,6,0,14
14,80,4,2,0
12,80,4,4,0
10,80,4,6,0
8,80,4,8,0
6,80,4,10,0
4,80,4,12,0
2,80,4,14,0
0,80,4,16,0
0,80,4,14,2
2,80,4,12,2
0,80,4,12,4
4,80,4,10,2
2,80,4,10,4
0,80,4,10,6
6,80,4,8,2
4,80,4,8,4
2,80,4,8,6
0,80,4,8,8
8,80,4,6,2
6,80,4,6,4
4,80,4,6,6
2,80,4,6,8
0,80,4,6,10
10,80,4,4,2
8,80,4,4,4
6,80,4,4,6
4,80,4,4,8
2,80,4,4,10
0,80,4,4,12
12,80,4,2,2
10,80,4,2,4
8,80,4,2,6
6,80,4,2,8
4,80,4,2,10
2,80,4,2,12
0,80,4,2,14
14,80,4,0,2
12,80,4,0,4
10,80,4,0,6
8,80,4,0,8
6,80,4,0,10
4,80,4,0,12
2,80,4,0,14
0,80,4,0,16
16,80,2,2,0
14,80,2,4,0
12,80,2,6,0
10,80,2,8,0
8,80,2,10,0
6,80,2,12,0
4,80,2,14,0
2,80,2,16,0
0,80,2,18,0
0,80,2,16,2
2,80,2,14,2
0,80,2,14,4
4,80,2,12,2
2,80,2,12,4
0,80,2,12,6
6,80,2,10,2
4,80,2,10,4
2,80,2,10,6
0,80,2,10,8
8,80,2,8,2
6,80,2,8,4
4,80,2,8,6
2,80,2,8,8
0,80,2,8,10
10,80,2,6,2
8,80,2,6,4
6,80,2,6,6
4,80,2,6,8
2,80,2,6,10
0,80,2,6,12
12,80,2,4,2
10,80,2,4,4
8,80,2,4,6
6,80,2,4,8
4,80,2,4,10
2,80,2,4,12
0,80,2,4,14
14,80,2,2,2
12,80,2,2,4
10,80,2,2,6
8,80,2,2,8
6,80,2,2,10
4,80,2,2,12
2,80,2,2,14
0,80,2,2,16
16,80,2,0,2
14,80,2,0,4
12,80,2,0,6
10,80,2,0,8
8,80,2,0,10
6,80,2,0,12
4,80,2,0,14
2,80,2,0,16
0,80,2,0,18
18,80,0,2,0
16,80,0,4,0
14,80,0,6,0
12,80,0,8,0
10,80,0,10,0
8,80,0,12,0
6,80,0,14,0
4,80,0,16,0
2,80,0,18,0
0,80,0,20,0
0,80,0,18,2
2,80,0,16,2
0,80,0,16,4
4,80,0,14,2
2,80,0,14,4
0,80,0,14,6
6,80,0,12,2
4,80,0,12,4
2,80,0,12,6
0,80,0,12,8
8,80,0,10,2
6,80,0,10,4
4,80,0,10,6
2,80,0,10,8
0,80,0,10,10
10,80,0,8,2
8,80,0,8,4
6,80,0,8,6
4,80,0,8,8
2,80,0,8,10
0,80,0,8,12
12,80,0,6,2
10,80,0,6,4
8,80,0,6,6
6,80,0,6,8
4,80,0,6,10
2,80,0,6,12
0,80,0,6,14
14,80,0,4,2
12,80,0,4,4
10,80,0,4,6
8,80,0,4,8
6,80,0,4,10
4,80,0,4,12
2,80,0,4,14
0,80,0,4,16
16,80,0,2,2
14,80,0,2,4
12,80,0,2,6
10,80,0,2,8
8,80,0,2,10
6,80,0,2,12
4,80,0,2,14
2,80,0,2,16
0,80,0,2,18
18,80,0,0,2
16,80,0,0,4
14,80,0,0,6
12,80,0,0,8
10,80,0,0,10
8,80,0,0,12
6,80,0,0,14
4,80,0,0,16
2,80,0,0,18
0,80,0,0,20
20,78,2,0,0
18,78,4,0,0
16,78,6,0,0
14,78,8,0,0
12,78,10,0,0
10,78,12,0,0
8,78,14,0,0
6,78,16,0,0
4,78,18,0,0
2,78,20,0,0
0,78,22,0,0
0,78,20,2,0
0,78,20,0,2
2,78,18,2,0
0,78,18,4,0
0,78,18,2,2
2,78,18,0,2
0,78,18,0,4
4,78,16,2,0
2,78,16,4,0
0,78,16,6,0
0,78,16,4,2
2,78,16,2,2
0,78,16,2,4
4,78,16,0,2
2,78,16,0,4
0,78,16,0,6
6,78,14,2,0
4,78,14,4,0
2,78,14,6,0
0,78,14,8,0
0,78,14,6,2
2,78,14,4,2
0,78,14,4,4
4,78,14,2,2
2,78,14,2,4
0,78,14,2,6
6,78,14,0,2
4,78,14,0,4
2,78,14,0,6
0,78,14,0,8
8,78,12,2,0
6,78,12,4,0
4,78,12,6,0
2,78,12,8,0
0,78,12,10,0
0,78,12,8,2
2,78,12,6,2
0,78,12,6,4
4,78,12,4,2
2,78,12,4,4
0,78,12,4,6
6,78,12,2,2
4,78,12,2,4
2,78,12,2,6
0,78,12,2,8
8,78,12,0,2
6,78,12,0,4
4,78,12,0,6
2,78,12,0,8
0,78,12,0,10
10,78,10,2,0
8,78,10,4,0
6,78,10,6,0
4,78,10,8,0
2,78,10,10,0
0,78,10,12,0
0,78,10,10,2
2,78,10,8,2
0,78,10,8,4
4,78,10,6,2
2,78,10,6,4
0,78,10,6,6
6,78,10,4,2
4,78,10,4,4
2,78,10,4,6
0,78,10,4,8
8,78,10,2,2
6,78,10,2,4
4,78,10,2,6
2,78,10,2,8
0,78,10,2,10
10,78,10,0,2
8,78,10,0,4
6,78,10,0,6
4,78,10,0,8
2,78,10,0,10
0,78,10,0,12
12,78,8,2,0
10,78,8,4,0
8,78,8,6,0
6,78,8,8,0
4,78,8,10,0
2,78,8,12,0
0,78,8,14,0
0,78,8,12,2
2,78,8,10,2
0,78,8,10,4
4,78,8,8,2
2,78,8,8,4
0,78,8,8,6
6,78,8,6,2
4,78,8,6,4
2,78,8,6,6
0,78,8,6,8
8,78,8,4,2
6,78,8,4,4
4,78,8,4,6
2,78,8,4,8
0,78,8,4,10
10,78,8,2,2
8,78,8,2,4
6,78,8,2,6
4,78,8,2,8
2,78,8,2,10
0,78,8,2,12
12,78,8,0,2
10,78,8,0,4
8,78,8,0,6
6,78,8,0,8
4,78,8,0,10
2,78,8,0,12
0,78,8,0,14
14,78,6,2,0
12,78,6,4,0
10,78,6,6,0
8,78,6,8,0
6,78,6,10,0
4,78,6,12,0
2,78,6,14,0
0,78,6,16,0
0,78,6,14,2
2,78,6,12,2
0,78,6,12,4
4,78,6,10,2
2,78,6,10,4
0,78,6,10,6
6,78,6,8,2
4,78,6,8,4
2,78,6,8,6
0,78,6,8,8
8,78,6,6,2
6,78,6,6,4
4,78,6,6,6
2,78,6,6,8
0,78,6,6,10
10,78,6,4,2
8,78,6,4,4
6,78,6,4,6
4,78,6,4,8
2,78,6,4,10
0,78,6,4,12
12,78,6,2,2
10,78,6,2,4
8,78,6,2,6
6,78,6,2,8
4,78,6,2,10
2,78,6,2,12
0,78,6,2,14
14,78,6,0,2
12,78,6,0,4
10,78,6,0,6
8,78,6,0,8
6,78,6,0,10
4,78,6,0,12
2,78,6,0,14
0,78,6,0,16
16,78,4,2,0
14,78,4,4,0
12,78,4,6,0
10,78,4,8,0
8,78,4,10,0
6,78,4,12,0
4,78,4,14,0
2,78,4,16,0
0,78,4,18,0
0,78,4,16,2
2,78,4,14,2
0,78,4,14,4
4,78,4,12,2
2,78,4,12,4
0,78,4,12,6
6,78,4,10,2
4,78,4,10,4
2,78,4,10,6
0,78,4,10,8
8,78,4,8,2
6,78,4,8,4
4,78,4,8,6
2,78,4,8,8
0,78,4,8,10
10,78,4,6,2
8,78,4,6,4
6,78,4,6,6
4,78,4,6,8
2,78,4,6,10
0,78,4,6,12
12,78,4,4,2
10,78,4,4,4
8,78,4,4,6
6,78,4,4,8
4,78,4,4,10
2,78,4,4,12
0,78,4,4,14
14,78,4,2,2
12,78,4,2,4
10,78,4,2,6
8,78,4,2,8
6,78,4,2,10
4,78,4,2,12
2,78,4,2,14
0,78,4,2,16
16,78,4,0,2
14,78,4,0,4
12,78,4,0,6
10,78,4,0,8
8,78,4,0,10
6,78,4,0,12
4,78,4,0,14
2,78,4,0,16
0,78,4,0,18
18,78,2,2,0
16,78,2,4,0
14,78,2,6,0
12,78,2,8,0
10,78,2,10,0
8,78,2,12,0
6,78,2,14,0
4,78,2,16,0
2,78,2,18,0
0,78,2,20,0
0,78,2,18,2
2,78,2,16,2
0,78,2,16,4
4,78,2,14,2
2,78,2,14,4
0,78,2,14,6
6,78,2,12,2
4,78,2,12,4
2,78,2,12,6
0,78,2,12,8
8,78,2,10,2
6,78,2,10,4
4,78,2,10,6
2,78,2,10,8
0,78,2,10,10
10,78,2,8,2
8,78,2,8,4
6,78,2,8,6
4,78,2,8,8
2,78,2,8,10
0,78,2,8,12
12,78,2,6,2
10,78,2,6,4
8,78,2,6,6
6,78,2,6,8
4,78,2,6,10
2,78,2,6,12
0,78,2,6,14
14,78,2,4,2
12,78,2,4,4
10,78,2,4,6
8,78,2,4,8
6,78,2,4,10
4,78,2,4,12
2,78,2,4,14
0,78,2,4,16
16,78,2,2,2
14,78,2,2,4
12,78,2,2,6
10,78,2,2,8
8,78,2,2,10
6,78,2,2,12
4,78,2,2,14
2,78,2,2,16
0,78,2,2,18
18,78,2,0,2
16,78,2,0,4
14,78,2,0,6
12,78,2,0,8
10,78,2,0,10
8,78,2,0,12
6,78,2,0,14
4,78,2,0,16
2,78,2,0,18
0,78,2,0,20
20,78,0,2,0
18,78,0,4,0
16,78,0,6,0
14,78,0,8,0
12,78,0,10,0
10,78,0,12,0
8,78,0,14,0
6,78,0,16,0
4,78,0,18,0
2,78,0,20,0
0,78,0,22,0
